章節,知識點,題目,答案,來源,content_match,參考內容,參考頁碼
A_機器學習-監督式學習,人工智慧的起源,艾倫．圖靈（Alan Turing）於 1950 年提出的「圖靈測試」，其判斷電腦是否具備智慧的標準是什麼？,如果電腦能使人類測試員誤以為它是人類（無法分辨誰是人類、誰是電腦），則視為通過測試，表示具備一定程度的智慧。,手動新增,yes,"1950年，艾倫．圖靈(Alan Turing) 提出圖靈測
試(Turing Test)，用來評估機器是否能展現出
人類智慧。
•
測試過程中會讓一名人類測試員獨自待在房
間內，並與一名身處其他地方的人類和一台
電腦進行文字對話。經過一系列對話後，測
試員需根據對話內容來判別誰是人類、誰是
電腦。
•
如果電腦能使測試員誤以為它是人類，則視
為通過圖靈測試，這也表示該電腦具備了一
定程度的智慧。",4
A_機器學習-監督式學習,人工智慧的起源,根據「AI 發展簡史」圖表，人工智慧的發展歷程主要被劃分為哪三個時期,推理期、知識期、學習期,手動新增,yes,"人工智慧發展浪潮

[圖片描述]
這張教材投影片的圖片標題為「圖一：AI 發展簡史」。圖片中展示了一個圖表，描述了人工智慧（AI）的發展趨勢。圖表橫軸是時間（從1942年到2020年），縱軸是發展趨勢。

圖表將AI發展歷程分為三個階段：
1. **推理期（1956-1974）**
   - 標註「第一波浪潮」，提到 AI 的誕生和邏輯推理計畫。
   - 包含指標科技如圖靈測試、自然語言處理、專家系統ELIZA。

2. **知識期（1980-1987）**
   - 註明了「第二波浪潮」，強調專家系統的發展，如MYCIN、Dendral。
   - 此期間經歷「第一次低谷」，原因是研究資金不足和計算力不夠。

3. **學習期（2010-2020）**
   - 提到「第三波浪潮」，涉及機器學習、類神經網路和深度學習的重要進展。
   - 突出事件包括AlphaGo的成功。
   - 此階段經歷了AI的復甦和爆發。

重要文字或標註還包括時間點的標記和兩次低谷時期（1980、1993）的描述，這暗示了AI發展中的挑戰與反彈。整個圖表呈現了AI技術歷經的波折和其後的快速進展。",5
A_機器學習-監督式學習,人工智慧的起源,目前我們常見的 Siri、ChatGPT 或 Google 自駕車，被歸類為「狹義人工智慧 (ANI)」或是「弱 AI」，其定義為何？,指經過訓練的 AI，著重在執行特定作業。,手動新增,yes,"狹義人工智慧ANI
• 是指經過訓練的AI，著
重在執行特定作業。
• Apple的Siri、
ChatGPT、達文西手
術機器人、Google自
駕車。
弱AI
通用人工智慧AGI
• 是指期望電腦除了具備認知能
力外，還能進行推理、自學、
溝通，甚至擁有自我意識。
超級人工智慧ASI
• 是指將超越人類大腦的智慧與
能力，並擁有「自我」的概念，
像人類一樣能夠辨識自己的存
在，並產生生存的意識和意向。
強AI",6
A_機器學習-監督式學習,特徵與標籤的概念,什麼是相關性矩陣？,用於分析數據特徵之間的相關性，幫助選擇重要特徵。,1132對應,yes,"特徵的選擇和工程（Feature Engineering）是影響模型性能的關鍵因素。選擇合適的特徵可以提高模型的準確性，而不相關或冗餘的特徵則可能導致過擬合或降低性能。
特徵和標籤在機器學習中扮演著重要角色。特徵作為模型的輸入，提供了必要的訊息來進行預測，而標籤則是模型學習的目標。有效的特徵選擇和工程可以顯著提升模型性能，因此在開發機器學習應用時，需要仔細考慮這兩者的設計和實現。",15
A_機器學習-監督式學習,特徵與標籤的概念,監督式學習中的特徵（Features）是什麼？,特徵是用來描述觀測對象的可測量性能或特性，作為模型的輸入數據，通常以數值或類別形式表示。,1132對應,yes,特徵是指用來描述觀測對象的可測量性能或特性。在機器學習中，特徵是模型的輸入數據，通常以數值形式表示。特徵可以是各種形式的數據，例如：數值型特徵：如年齡、收入、重量等。類別型特徵：如性別、地區、產品類型等，這些通常需要進行編碼以便於模型處理。文本特徵：在自然語言處理中，文本數據需要轉換為數字形式，例如使用TF-IDF或詞嵌入技術。,13
A_機器學習-監督式學習,特徵與標籤的概念,標籤（Labels）在監督式學習中的作用是什麼？,標籤是與特徵對應的輸出結果，是模型需要學習和預測的目標。,1132對應,yes,標籤是指與特徵相對應的輸出結果，是模型需要預測的目標。在監督式學習中，每個訓練樣本都有一個標籤，這些標籤用於指導模型學習。例如：在垃圾郵件檢測中，標籤可以是“垃圾郵件”或“正常郵件”。在房價預測中，標籤是實際的房價。標籤通常是離散型（如分類問題中的類別）或連續型（如迴歸問題中的數值）。在訓練過程中，模型根據輸入的特徵來學習如何預測這些標籤。,14
A_機器學習-監督式學習,特徵與標籤的概念,特徵選擇的作用是什麼？,選擇重要特徵可以提高模型的準確性，減少數據噪聲，提升模型效能與可解釋性。,1132對應,yes,特徵的選擇和工程（Feature Engineering）是影響模型性能的關鍵因素。選擇合適的特徵可以提高模型的準確性，而不相關或冗餘的特徵則可能導致過擬合或降低性能。特徵和標籤在機器學習中扮演著重要角色。特徵作為模型的輸入，提供了必要的訊息來進行預測，而標籤則是模型學習的目標。有效的特徵選擇和工程可以顯著提升模型性能，因此在開發機器學習應用時，需要仔細考慮這兩者的設計和實現。,15
A_機器學習-監督式學習,監督式學習的定義,什麼是監督式學習？,監督式學習是一種機器學習方法，透過帶標籤的數據集來訓練模型，以學習輸入與輸出之間的映射關係。,1132對應,yes,"監督式學習
●通過使用帶有標籤的數據集來訓練模型。
●這些數據集包含特徵（輸入）和對應的標籤（輸出），模型學習從輸入到輸出的映射關係，以便能夠對未來的數據進行預測。",8
A_機器學習-監督式學習,監督式學習的定義,監督式學習的主要優勢有哪些？,高準確度、結果可解釋性、標準化評估方式、高效的訓練過程、良好的泛化能力。,1132對應,yes,"1. 高準確度
• 由於模型在訓練時使用帶標籤的數據，因此可以學習到明確的輸入與輸出之間的關係，從而實現較高的預測準確度。
2. 結果可解釋性
• 監督式學習通常提供較好的可解釋性，特別是在使用如決策樹或線性回歸等方法時，能夠清楚地理解輸入特徵對最終結果的影響。
3. 標準化的評估方式
• 監督式學習可使用多種評估指標（如準確率、F1 分數、均方誤差等），使模型表現的好壞能夠被量化，進而進行優化和調整。
4. 高效的訓練過程
• 透過提供充足且質量良好的標註數據，監督式學習能夠較快地完成模型訓練，並透過各種優化技術（如正則化、交叉驗證）提升效能。
5. 泛化能力
• 在適當的正則化和模型選擇下，監督式學習模型能夠很好地泛化到未見過的數據，避免過度擬合。",11-12
A_機器學習-監督式學習,監督式學習的定義,監督式學習的應用領域有哪些？,包括醫療診斷、金融服務、電子郵件過濾、市場預測和圖像辨識等領域。,1132對應,yes,"監督式學習的應用
●醫療診斷：利用歷史病歷資料預測疾病風險和診斷結果。
●金融服務：信用評分和欺詐檢測，透過客戶資料預測信用風險。
●電子郵件過濾：垃圾郵件篩選，根據標記的郵件訓練模型進行分類。
●市場預測：預測銷售量或市場趨勢，使用回歸分析來估算未來數據。
●圖像辨識：識別物體或人臉，透過標記的圖像資料進行訓練",16
A_機器學習-監督式學習,監督式學習的工具與流程-模型評估,線性迴歸的主要評估指標有哪些？,"均方根誤差（RMSE）, R 平方（R²）。",1132對應,yes,"• R 平方(R²): 又稱為判定係數，用於衡量特徵與預測目標之間的關聯性。其值範圍從0 到1，越靠近1 表示特徵變數越能解釋目標值變異的比例。
• 均方誤差(MSE): 實際值和預測值之間差的平方和取平均。
• 均方根誤差(RMSE): MSE取平方根。因為有平方根，不會像MSE懲罰誤差這麼嚴重。",55
A_機器學習-監督式學習,監督式學習的工具與流程-模型評估,R平方（R²）的定義是什麼？,R² 衡量模型解釋因變數變異性的能力，值越接近 1 表示模型擬合效果越好。,1132對應,yes,• R 平方(R²): 又稱為判定係數，用於衡量特徵與預測目標之間的關聯性。其值範圍從0 到1，越靠近1 表示特徵變數越能解釋目標值變異的比例。,55
A_機器學習-監督式學習,監督式學習的工具與流程-模型評估,交叉驗證的作用是什麼？,交叉驗證可以提供更穩定的模型評估結果，提高模型的泛化能力。,1132對應,yes,"模型評估（分類）
2. 交叉驗證
K折交叉驗證（K-Fold Cross Validation）：將數據集分為K個子集，每次使用K-1個子集進行訓練，剩下的一個子集用於測試。這個過程重複K次，最終計算平均性能指標，以獲得更穩定的評估結果。",52
A_機器學習-監督式學習,監督式學習的工具與流程-模型評估,混淆矩陣的作用是什麼？,混淆矩陣是一種可視化工具，用於顯示分類模型的預測結果，包含真陽性、假陽性、真陰性和假陰性。,1132對應,yes,"模型評估（分類）
4. 混淆矩陣
混淆矩陣是一種視覺化工具，用於顯示模型在各類別上的預測結果，包括真陽性、真陰性、假陽性和假陰性。這有助於深入分析模型在不同類別上的表現。",54
A_機器學習-監督式學習,監督式學習的工具與流程-模型選擇與訓練,模型選擇時應考慮哪些因素？,問題類型、數據特性、模型性能、可解釋性等。,1132對應,yes,模型選擇考量因素：1. 問題類型 ... 2. 數據特性 ... 3. 模型性能 ... 4. 可解釋性 ...（第48-50頁）『首先要確定問題是分類（如垃圾郵件檢測）還是迴歸（如房價預測）。不同的任務需要不同類型的模型。... 數據大小：小型數據集通常適合使用較簡單的模型，如邏輯回歸或決策樹；而大型數據集則可能需要更複雜的模型，如隨機森林或深度學習模型。... 準確性和性能：不同模型在特定任務上的表現可能有很大差異。選擇能在驗證集上提供高準確率的模型至關重要。... 可解釋性非常重要。簡單模型（如邏輯回歸）通常比複雜的深度學習模型更容易解釋。』,48-50
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,什麼是最小平方法（OLS）？,"最小平方法（Ordinary Least Squares, OLS）是一種透過最小化預測值與實際觀測值之間的平方差來估計迴歸係數的方法。",1132對應,yes,"1. 線性回歸(Linear Regression)
●類型：回歸(Regression)
●描述：用於建立輸入變數與連續輸出變數之間的線性關係，透過最小平方法來擬合數據。
●應用場景：房價預測、銷售預測、經濟指標分析。",38
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,監督式學習中常見的演算法有哪些？,線性回歸、邏輯回歸、決策樹、隨機森林、支持向量機（SVM）、K 近鄰演算法（KNN）、單純貝氏、神經網絡。,1132對應,yes,"圖片中是一個樹狀結構圖，主題「監督式學習演算法」在圖的中央位置。從主題延伸出多條分支，分別通向不同的監督式學習演算法名稱。
樹狀結構的分支上標註了各種演算法名稱，包括「線性回歸」、「邏輯回歸」、「決策樹」、「隨機森林」、「支持向量機」、「K近鄰演算法」、「單純貝氏」、「神經網絡」。",37
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,線性回歸適用於什麼類型的問題？,適用於回歸問題，如房價預測、銷售預測、經濟指標分析等。,1132對應,yes,"1. 線性回歸(Linear Regression)
●類型：回歸(Regression)
●描述：用於建立輸入變數與連續輸出變數之間的線性關係，透過最小平方法來擬合數據。
●應用場景：房價預測、銷售預測、經濟指標分析。",38
A_機器學習-監督式學習,監督式學習的工具與流程-監督式學習的常用演算法,決策樹的主要特點是什麼？,透過特徵的條件進行分類或預測，易於解釋但可能容易過擬合。,1132對應,yes,"3. 決策樹(Decision Tree)
●類型：分類/回歸(Classification/Regression)
●描述：透過特徵的條件來進行樹狀結構的分類或預測，易於解釋但可能容易過擬合。
●應用場景：客戶細分、風險管理、醫療診斷。",40
